Year,ENSO,ENSO_var,ENSO_short,PDO
1768,-0.067,1.061,-0.525,0.376078817
1769,0.134,1.035,0.75,0.140228719
1770,-0.483,1.057,0.767,0.126830515
1771,2.232,1.038,1.188,0.2546327
1772,-0.842,1.241,-0.402,0.46079131
1773,-1.918,1.232,-0.255,0.305663193
1774,-0.136,1.343,0.244,0.314326043
1775,1.108,1.418,-1.972,0.382861633
1776,0.503,1.451,-0.829,0.06421516
1777,-0.589,1.461,-0.065,-0.396666098
1778,-0.349,1.465,-1.12,-0.82354417
1779,0.694,1.689,-0.425,-0.502000245
1780,-0.392,1.754,-0.548,-0.133127623
1781,0.108,1.744,-0.781,-0.446648334
1782,-1.976,1.636,-0.627,-0.520825866
1783,0.991,1.809,1.573,-0.776571618
1784,2.631,1.663,-0.808,0.128919123
1785,-1.099,1.705,-1.788,0.560985323
1786,-1.456,1.668,-1.723,0.712379086
1787,1.536,1.679,-0.553,0.514731253
1788,0.147,1.813,-0.44,0.40082349
1789,-1.916,1.896,-0.613,0.028656762
1790,-1.054,1.864,-2.271,0.42149818
1791,0.434,1.944,0.197,0.87862749
1792,1.707,1.961,1.395,1.535212708
1793,1.836,1.721,0.652,1.337700839
1794,-1.149,1.738,0.014,0.611098543
1795,-0.697,1.513,0.069,-0.213391861
1796,0.23,1.458,-0.161,-0.332684998
1797,0.645,1.407,-0.959,-0.073149243
1798,-1.868,1.324,-0.952,0.189711015
1799,1.329,1.32,0.323,0.159461269
1800,-0.011,1.172,1.052,0.325184129
1801,-1.139,1.196,-1.466,0.515854722
1802,0.489,1.172,-2.062,0.483164123
1803,0.483,1.104,-0.074,0.671939682
1804,1.152,0.961,1.906,0.591427011
1805,-1.165,0.915,-0.847,0.711167994
1806,-0.615,1.126,-2.394,0.315571151
1807,0.9,1.31,-0.904,0.045490114
1808,-0.908,1.196,-1.16,-0.461392646
1809,-0.506,1.048,-1.036,-0.139078118
1810,0.591,1.036,-2.136,-0.132502627
1811,1.109,1.254,-0.117,0.130120641
1812,-0.611,1.259,0.025,-0.081556271
1813,-1.4,1.431,-0.055,-0.348893811
1814,0.009,1.42,0.827,-0.328629767
1815,0.6,1.457,-1.061,0.303354778
1816,2.362,1.416,0.349,0.415285558
1817,0.644,1.258,0.273,0.808171134
1818,-1.222,1.33,-0.383,0.719650323
1819,-0.863,1.33,-0.58,0.507311475
1820,-1.245,1.311,-1.169,0.115782859
1821,1.978,1.414,0.154,-0.633407821
1822,-1.175,1.344,0.439,-0.809137755
1823,-0.861,1.51,0.285,-1.208604606
1824,-0.951,1.416,0.673,-1.084695961
1825,1.336,1.43,1.297,-0.16107723
1826,0.277,1.488,-0.117,0.382070452
1827,0.186,1.145,-0.346,0.796501596
1828,1.441,1.086,0.716,0.138028068
1829,-0.912,1.132,-0.824,0.161484699
1830,-0.019,1.131,-1.15,-0.215798953
1831,-1.445,1.174,-1.517,0.593964951
1832,0.311,1.169,-0.168,0.772205821
1833,1.8,1.097,0.526,0.877967242
1834,-0.613,1.255,0.722,0.57492652
1835,-0.334,1.19,-0.82,0.239649819
1836,-0.5,1.115,-0.785,0.319534512
1837,0.172,1.355,0.009,0.390900406
1838,0.182,1.416,0.238,0.687773271
1839,1.375,1.48,0.658,0.86320468
1840,1.014,1.496,0.813,0.259950748
1841,-1.515,1.717,0.385,-0.060755886
1842,-1.912,1.645,-0.155,-1.164524704
1843,0.085,1.698,0.618,-0.828304801
1844,1.911,1.601,0.595,-1.217810885
1845,-0.213,1.603,0.538,-0.634178935
1846,0.212,1.591,0.775,-0.709295017
1847,-1.947,1.61,-0.912,-0.114010167
1848,-0.494,1.801,-0.439,-0.326598446
1849,1.743,1.805,-0.327,-0.079051915
1850,1.373,1.715,-0.318,-0.070784974
1851,-2.192,1.658,0.001,0.22388926
1852,0.084,1.632,-0.152,0.677975114
1853,1.535,1.567,0.415,0.803891109
1854,0.508,1.757,0.183,1.243873106
1855,-1.242,1.537,-0.913,0.697111862
1856,-0.072,1.653,0.568,0.206496962
1857,-1.196,1.661,-0.735,-0.286197753
1858,1.913,1.462,-0.625,-0.562140514
1859,-0.208,1.586,-0.143,-0.001242659
1860,-0.034,1.474,-0.135,0.048385873
1861,-0.461,1.543,-1.4,0.296703418
1862,1.299,1.412,-2.104,0.215997059
1863,-1.555,1.43,-1.064,-0.149473819
1864,-1.832,1.266,-1.473,-0.549815975
1865,0.022,1.229,0.454,-0.530723693
1866,1.395,1.168,0.46,-0.107373273
1867,0.398,1.151,0.09,0.524363795
1868,0.554,1.269,-0.516,0.752499805
1869,1.744,1.149,2.413,0.857015753
1870,-0.657,1.372,-0.07,0.391239335
1871,-1.744,1.407,-2.095,-0.009467538
1872,0.038,1.417,-0.792,-0.160131741
1873,-0.006,1.268,-0.789,-0.024893015
1874,-0.087,1.125,-0.439,-0.081471127
1875,-0.15,1.101,-1.087,0.108623457
1876,0.099,1.074,-0.078,-0.209202257
1877,0.544,1.223,-0.453,-0.188921867
1878,1.775,1.249,2.504,-0.651203602
1879,-1.302,1.237,-0.769,-0.277816666
1880,-1.643,1.068,-1.809,-0.56904968
1881,0.19,1.227,-1.042,-0.496088495
1882,0.458,1.02,-0.503,-0.642261981
1883,-0.57,1.18,-0.646,-0.377478672
1884,0.84,1.264,-0.388,-0.092655721
1885,1.691,1.299,0.191,0.487235436
1886,-0.657,1.381,1.005,0.467380452
1887,-2.015,1.433,-0.896,0.365416396
1888,0.906,1.456,0.109,0.215690791
1889,0.403,1.38,1.872,0.360060616
1890,-0.347,1.279,-0.611,0.897704695
1891,1.696,1.1,-1.212,1.236109316
1892,0.17,1.355,-0.353,1.36980853
1893,-1.576,1.475,-2.193,0.761397267
1894,-1.058,1.776,-1.192,0.442424681
1895,0.611,1.805,-1.174,-0.041010174
1896,-0.905,1.698,0.024,-0.09280977
1897,1.236,1.854,1.288,-0.489161877
1898,1.147,1.506,-0.05,-0.869367008
1899,-1.024,1.497,-1.838,-1.221188457
1900,-0.048,1.64,0.152,-1.19704058
1901,0.474,1.709,0.376,-1.008363847
1902,-2.025,1.588,-1.401,-0.560531794
1903,1.746,1.562,0.689,-0.789601662
1904,-2.409,1.631,-0.549,-0.510123201
1905,1.102,1.488,0.725,-0.254637221
1906,0.763,1.504,0.757,0.517666269
1907,1.277,1.504,-0.269,0.830910692
1908,0.441,1.585,0.426,0.984859331
1909,-0.058,1.536,-1.464,0.97093935
1910,-1.815,1.66,-0.787,0.85386888
1911,-0.982,1.637,-1.628,0.582585217
1912,0.784,1.783,0.353,0.404351404
1913,-0.186,1.426,-0.149,0.594626236
1914,1.151,1.279,1.646,0.764355284
1915,1.106,1.268,0.904,1.154265069
1916,-0.057,1.254,-0.907,1.197060065
1917,-0.905,1.255,-3.724,1.029807663
1918,-1.828,1.124,-2.315,0.588077894
1919,0.684,1.154,1.305,0.278641805
1920,1.404,1.164,1.855,0.479388209
1921,0.461,0.954,0.562,0.855690285
1922,-0.819,0.942,-0.656,0.914468569
1923,-0.129,0.915,-0.281,0.599169563
1924,0.652,1.272,0.107,0.247298707
1925,-2.262,1.258,-1.416,0.028875217
1926,1.012,1.217,1.021,0.154067388
1927,0.771,1.236,-0.268,0.283674735
1928,0.217,1.045,-1.062,-0.027246037
1929,-0.855,1.036,-1.541,-0.119767394
1930,0.157,1.272,0.041,-0.151017909
1931,0.015,1.362,1.954,0.143830357
1932,1.325,1.44,-0.198,0.093701803
1933,0.416,1.458,-0.873,-0.363826467
1934,-2.694,1.453,-1.257,-0.407050798
1935,1.04,1.444,-0.042,-0.543808331
1936,-0.552,1.275,-0.296,0.008932861
1937,0.43,1.236,0.18,0.183808353
1938,0.931,1.203,-0.357,0.342289059
1939,-1.74,1.309,-1.244,0.485041063
1940,-1.08,1.277,-1.207,0.486562713
1941,1.902,1.388,0.633,0.670143345
1942,1.221,1.514,-0.136,0.768241894
1943,-0.93,1.4,-1.579,0.771364083
1944,0.311,1.38,-1.632,0.634148963
1945,0.431,1.039,0.314,0.517166173
1946,-1.302,1.121,-0.672,0.445448099
1947,0.489,1.11,0.122,-0.046555124
1948,-0.124,1.275,-0.584,-0.540092605
1949,1.261,1.297,-0.687,-1.10263233
1950,-0.624,1.108,-0.51,-1.268869036
1951,-0.97,1.083,-1.265,-1.22813859
1952,1.412,0.942,1.027,-1.265541006
1953,0.024,0.888,-1.263,-0.791393592
1954,-0.871,0.89,-1.202,-0.639960411
1955,-0.112,1.018,-0.755,-0.602279623
1956,-1.526,1,-1.75,-0.520364773
1957,0.52,0.933,-1.403,-0.217478295
1958,1.804,0.932,1.441,-0.067876807
1959,-0.855,1.004,0.454,-0.064707604
1960,0.345,0.898,-0.516,-1.001222154
1961,-0.873,0.993,-1.045,-0.990454458
1962,0.934,0.962,-1.159,-1.392232164
1963,-0.626,1.062,-1.765,-0.823049108
1964,-0.944,1.246,1.472,-0.831580997
1965,1.418,1.314,-1.609,-0.483081097
1966,-0.163,1.304,0.422,-0.110981053
1967,-0.693,1.313,-1.018,-0.190312567
1968,0.478,1.293,-0.912,0.023977158
1969,0.957,1.305,0.528,-0.224286309
1970,0.288,1.302,-0.177,-0.1939382
1971,-1.466,1.36,-2.883,-0.535223633
1972,-0.588,1.338,-1.19,-0.697014859
1973,2.052,1.475,1.629,-0.695541729
1974,-1.747,1.418,-1.55,-0.50775495
1975,1.212,1.367,-0.173,-0.430928892
1976,-0.094,1.257,-1.676,-0.176807293
1977,-1.576,1.424,0.121,0.001448343
1978,0.27,1.428,0.72,0.409659808
1979,1.87,1.539,1.22,0.64835995
1980,-0.827,1.535,0.233,0.629812804
1981,-0.856,1.516,0.81,0.747426313
1982,-0.565,1.53,-0.2,0.95835151
1983,1.653,1.697,1.367,1.179948376
1984,0.203,1.585,-0.469,1.345110618
1985,-0.089,1.482,-0.716,0.907382798
1986,-0.409,1.405,-0.467,0.5555525
1987,1.672,1.479,1.768,0.814006896
1988,-0.73,1.344,1.622,0.353178896
1989,-1.475,1.498,-0.987,0.017762663
1990,-0.998,1.437,-1.024,-0.432589573
1991,-0.109,1.268,0.071,-0.409094792
1992,1.379,1.255,2.361,
1993,1.873,,2.296,
1994,-1.652,,0.482,
1995,0.531,,-1.202,
1996,-0.758,,-1.373,
1997,-0.393,,-0.957,
1998,0.977,,1.623,
1999,1.434,,-0.475,
2000,-1.019,,-0.982,
2001,0.065,,-1.011,
2002,-1.078,,0.546,
2003,,,1.782,
2004,,,0.61,
2005,,,0.564,
