Year,ENSO,ENSO_var,ENSO_short,PDO
1115,-0.936,0.478,,
1116,0.966,0.647,,
1117,0.568,0.653,,
1118,0.195,0.805,,
1119,-0.11,0.798,,
1120,0.156,0.933,,
1121,-1.569,0.986,,
1122,1.686,0.961,,
1123,-0.595,0.956,,
1124,0.407,0.977,,
1125,0.668,1,,
1126,-2.334,1.005,,
1127,-0.154,0.948,,
1128,1.487,0.964,,
1129,1.48,1.04,,
1130,-0.94,1.159,,
1131,-0.676,1.185,,
1132,-0.052,1.025,,
1133,0.094,0.888,,
1134,-0.549,0.856,,
1135,-0.618,0.876,,
1136,1.141,1.004,,
1137,0.109,0.734,,
1138,-0.63,0.747,,
1139,0.915,0.685,,
1140,-1.308,0.715,,
1141,0.797,0.705,,
1142,0.521,0.838,,
1143,-0.275,0.845,,
1144,0.524,0.866,,
1145,0.706,0.887,,
1146,-1.405,0.917,,
1147,0.196,0.838,,
1148,-0.42,0.989,,
1149,0.981,1.089,,
1150,-1.601,1.11,,
1151,-0.856,1.138,,
1152,1.799,1.133,,
1153,0.311,1.166,,
1154,-0.429,1.206,,
1155,0.936,1.227,,
1156,-0.862,1.197,,
1157,-0.001,1.152,,
1158,-1.769,1.137,,
1159,1.142,1.177,,
1160,1.138,1.21,,
1161,-1.472,1.082,,
1162,0.735,1.038,,
1163,0.93,0.963,,
1164,-0.78,1.023,,
1165,0.815,1.012,,
1166,-0.837,0.971,,
1167,0.879,0.985,,
1168,-0.471,1.056,,
1169,-0.92,0.914,,
1170,-0.63,0.855,,
1171,1.194,0.846,,
1172,0.241,0.817,,
1173,1.275,0.843,,
1174,-1.108,1.015,,
1175,-0.152,0.975,,
1176,-0.203,1.052,,
1177,-1.097,1.022,,
1178,0.954,0.982,,
1179,-0.373,0.986,,
1180,0.54,0.976,,
1181,1.07,0.955,,
1182,-1.243,0.868,,
1183,-0.962,0.868,,
1184,2.098,0.758,,
1185,0.205,0.842,,
1186,-1.561,0.849,,
1187,-0.222,1.005,,
1188,0.525,0.991,,
1189,-0.553,1.032,,
1190,0.676,1.118,,
1191,0.241,1.117,,
1192,-0.224,1.008,,
1193,-0.395,0.931,,
1194,-0.72,0.862,,
1195,1.345,0.651,,
1196,-0.324,0.72,,
1197,1.385,0.58,,
1198,-0.962,0.601,,
1199,-1.658,0.691,,
1200,0.903,0.636,,
1201,0.531,0.624,,
1202,0.022,0.622,,
1203,0.401,0.629,,
1204,0.154,0.622,,
1205,-0.234,0.6,,
1206,-0.685,0.476,,
1207,-0.184,0.629,,
1208,-0.707,0.577,,
1209,1.251,0.671,,
1210,0.014,0.538,,
1211,0.547,0.49,,
1212,0.159,0.461,,
1213,-0.369,0.462,,
1214,0.287,0.387,,
1215,-0.246,0.417,,
1216,0.164,0.544,,
1217,-1.831,0.637,,
1218,-0.967,0.904,,
1219,1.972,0.919,,
1220,0.642,0.912,,
1221,-0.466,0.906,,
1222,0.222,0.961,,
1223,0.002,1.13,,
1224,-0.205,1.207,,
1225,-0.18,1.307,,
1226,1.116,1.411,,
1227,-2.752,1.449,,
1228,1.45,1.341,,
1229,1.19,1.256,,
1230,-0.823,1.192,,
1231,0.448,1.203,,
1232,0.862,1.173,,
1233,-1.13,1.185,,
1234,-1.056,1.176,,
1235,1.248,1.169,,
1236,-1.338,1.224,,
1237,-0.363,1.204,,
1238,1.397,0.892,,
1239,0.571,0.959,,
1240,-1.279,0.901,,
1241,0.751,1.069,,
1242,0.122,1.059,,
1243,-0.048,1.071,,
1244,0.327,1.176,,
1245,0.081,1.146,,
1246,-0.86,1.092,,
1247,-0.762,0.951,,
1248,0.746,1.254,,
1249,1.893,1.335,,
1250,-0.159,1.329,,
1251,-1.954,1.168,,
1252,0.113,1.06,,
1253,1.06,1.269,,
1254,-1.777,1.312,,
1255,0.912,1.334,,
1256,0.402,1.336,,
1257,0.473,1.261,,
1258,-2.518,1.148,,
1259,1.807,1.136,,
1260,0.502,1.001,,
1261,-0.177,0.919,,
1262,0.474,0.596,,
1263,-1.064,0.801,,
1264,-0.69,0.798,,
1265,0.672,0.794,,
1266,-0.065,0.89,,
1267,0.217,0.901,,
1268,0.835,0.965,,
1269,0.087,0.707,,
1270,-0.514,0.564,,
1271,0.286,0.534,,
1272,0.296,0.573,,
1273,-0.974,0.557,,
1274,-0.629,0.483,,
1275,2.001,0.446,,
1276,-1.104,0.389,,
1277,0.56,0.449,,
1278,-0.861,0.57,,
1279,0.11,0.476,,
1280,-0.381,0.654,,
1281,0.053,0.611,,
1282,0.748,0.698,,
1283,-0.214,0.764,,
1284,0.147,0.702,,
1285,-0.229,0.681,,
1286,-0.193,0.568,,
1287,0.656,0.529,,
1288,-1.46,0.669,,
1289,-0.02,0.577,,
1290,1.685,0.61,,
1291,-0.053,0.706,,
1292,-1.017,0.743,,
1293,0.968,0.697,,
1294,0.047,0.773,,
1295,-0.453,0.873,,
1296,-0.943,0.892,,
1297,-0.797,1.027,,
1298,2.032,1.03,,
1299,-0.194,0.913,,
1300,-0.851,0.952,,
1301,0.578,0.792,0.398,
1302,0.66,0.815,0.097,
1303,-0.025,0.853,0.676,
1304,-1.137,0.992,-0.137,
